Business_as_usual_2050	moderate_2050	extensive_2050	Business_as_usual_2099	moderate_2099	extensive_2099
0.587477993	0.000236525	0.207579509	0.642073442	0.016376529	-0.167475117
0.28181603	0.286502295	0.254170115	-0.40577483	-0.361136665	0.388887477
-0.128744962	-0.098708687	0.002023355	1.565009662	-0.444371014	0.115428412
-0.053918158	-0.366571025	0.522860276	0.218761526	0.12735277	0.33261351
-0.500966832	-0.168480157	0.441927527	-0.40457147	0.057964558	0.448872282
0.206818709	0.002985308	0.075587275	0.967255617	0.113807224	0.510568309
0.086866471	0.148741492	0.113161463	0.562063682	-0.300673634	0.236759571
-0.331676041	0.464328639	0.498574126	0.482999515	-0.491870738	0.585412873
0.270930288	-0.415764623	0.158493978	1.1067251	-0.32879279	-0.44280846
0.518057299	0.059912871	0.046712128	0.672052792	0.511695164	0.072546109
0.711264604	-0.387512428	0.055477306	0.665462441	-0.496696256	-0.06210804
0.823437479	0.082828129	0.391558987	0.181510757	-0.195515451	0.037244573
-0.534294387	0.324299827	0.379205077	0.772494029	0.340941636	0.368898451
0.398861289	0.393793304	0.342136541	0.240643853	0.512876919	0.003931202
0.21076424	-0.407607523	0.514227615	-0.394637245	0.786620093	0.341526726
0.538453636	-0.158007564	0.472051009	0.397338188	0.648635017	-0.372825681
-0.363578441	0.369558801	0.167964959	-0.249275681	0.562962288	-0.455213424
0.095466646	-0.241686812	0.339783073	0.97621432	-0.484228849	0.393537236
0.248197237	-0.315267324	0.269323875	0.358577155	0.214043548	0.551644238
0.620337945	0.485663853	0.186308275	0.518132884	0.165264062	0.378765003
0.85950661	0.126807424	0.30641964	1.186056831	-0.478642559	0.273011321
-0.251893707	0.252675734	0.181849395	0.290185891	0.26557328	0.069443007
-0.24292593	0.269171086	0.269251778	0.094745804	0.583888157	-0.214180422
-0.109123342	-0.382532315	0.055755993	1.204754103	0.509149774	0.584388862
0.409463985	-0.357407663	0.505952202	-0.21536614	0.645698411	0.02438211
0.263877481	0.305544682	0.479986578	0.3883586	-0.471038998	-0.350925003
0.665499965	0.023743082	0.013703637	1.376162417	0.011374994	-0.27744955
